FeatureIndex	FileName	MSLevel	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	FeatureQuantity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	Qscore2D	PerChargeIntensity	PerIsotopeIntensity
1	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	9105.349538	9110.976142	6	65.0237	65.366	20.54	65.0237	7.00498e+08	4.19487e+08	1.91622e+09	6	9	4	0.929614	0.999999999875391	4.95659e+07;3.17323e+08;3.04627e+08;2.89824e+07	46864.4;2.78984e+06;1.41806e+07;3.65531e+07;6.61559e+07;9.33402e+07;1.05201e+08;1.04876e+08;9.05545e+07;7.06797e+07;4.90425e+07;3.09908e+07;1.97154e+07;1.05167e+07;5.90211e+06
2	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	9106.336718	9111.963322	78	65.4333	71.5342	366.055	65.7611	6.19506e+08	1.68401e+08	2.32494e+09	6	11	6	0.940024	1	4.29007e+07;2.13319e+08;2.33322e+08;1.14342e+08;1.56734e+07;22018.2	709490;4.24312e+06;1.53433e+07;3.53443e+07;6.12679e+07;8.22669e+07;9.26619e+07;8.95154e+07;7.86069e+07;6.05316e+07;4.2572e+07;2.64706e+07;1.62856e+07;9.43236e+06;4.96457e+06
3	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	9203.326473	9209.004442	6	65.0237	65.366	20.54	65.0237	2.24036e+08	9.89498e+07	6.83514e+08	6	9	4	0.92643	0.999999999895331	3.01767e+07;1.05142e+08;8.08108e+07;7.90579e+06	32220.5;914005;4.92049e+06;1.12897e+07;2.05916e+07;2.7762e+07;3.27176e+07;3.31465e+07;3.00984e+07;2.25833e+07;1.57427e+07;1.1409e+07;6.77329e+06;3.88684e+06;2.20008e+06
4	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	9204.319673	9209.997641	35	65.0237	67.8035	166.788	65.0237	2.011e+08	5.9127e+07	1.1457e+09	6	9	5	0.958008	1	3.77628e+07;1.2455e+08;3.77348e+07;1.08967e+06	463282;2.66025e+06;6.19991e+06;1.33097e+07;2.04162e+07;2.64525e+07;2.98539e+07;2.87182e+07;2.40487e+07;1.81112e+07;1.31225e+07;8.66426e+06;5.18091e+06;2.77872e+06;1.58333e+06
5	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	9124.323563	9129.963903	7	65.0866	67.1615	124.493	65.0866	3.72121e+07	3.07864e+07	3.91214e+08	6	10	5	0.903255	0.917192073326503	5.12645e+06;1.1744e+07;1.30816e+07;5.69626e+06;1.56366e+06	759864;1.50973e+06;2.22119e+06;2.95136e+06;3.719e+06;3.33559e+06;3.5716e+06;3.30058e+06;3.40653e+06;3.42245e+06;2.8549e+06;2.63842e+06;1.91213e+06;1.3548e+06;1.0138e+06
6	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	9143.310776	9148.965292	10	65.0237	66.1331	66.5624	65.0237	5.18394e+07	2.36774e+07	1.92379e+08	6	10	5	0.936017	0.999999998912405	9.76333e+06;2.5615e+07;1.37909e+07;2.61412e+06;56032	786471;1.54291e+06;2.15195e+06;3.17574e+06;4.52909e+06;6.26009e+06;6.41199e+06;6.05345e+06;5.38907e+06;4.39124e+06;3.44168e+06;2.99375e+06;2.21998e+06;1.78388e+06;1.49462e+06
7	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	9301.304590	9307.047141	8	65.0237	67.0331	120.567	65.0237	4.04099e+07	1.81372e+07	1.45646e+08	6	8	3	0.932449	0.9999999783404	1.07017e+07;2.34189e+07;6.28926e+06	0;190768;793410;1.97428e+06;3.71835e+06;5.28143e+06;5.6734e+06;5.91715e+06;5.43546e+06;3.82433e+06;3.20281e+06;2.05879e+06;1.21934e+06;761232;359176
8	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	9225.312517	9231.006623	10	65.0237	67.0974	124.422	65.0237	2.57911e+07	1.7094e+07	3.94679e+08	6	9	4	0.945308	0.999159668310239	6.97944e+06;1.18662e+07;6.46268e+06;482797	985383;1.01042e+06;1.48648e+06;1.95532e+06;2.41171e+06;2.72527e+06;3.51612e+06;3.02937e+06;2.73688e+06;2.60553e+06;1.67328e+06;1.36482e+06;526666;553103;196077
9	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	9127.327604	9132.967944	7	65.0237	66.9045	112.849	65.0237	4.09614e+07	1.68105e+07	4.31154e+08	6	10	5	0.920066	0.995362236111527	9.99144e+06;2.18065e+07;6.36973e+06;2.52491e+06;268754	2.02789e+06;1.92623e+06;2.85853e+06;2.84788e+06;3.33424e+06;4.19723e+06;4.81091e+06;4.9211e+06;4.56259e+06;3.66315e+06;3.03285e+06;2.00015e+06;1.43572e+06;841536;529251
10	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	1	11874.050370	11881.417097	18	70.5698	71.6629	65.5835	70.7628	1.04853e+08	1.40896e+07	3.93143e+08	7	16	10	0.963647	1	2.44518e+06;1.97278e+07;1.61048e+07;1.31677e+07;1.43131e+07;1.46021e+07;1.56384e+07;5.98489e+06;2.74934e+06;119341	0;111031;564894;2.03355e+06;4.90891e+06;8.44825e+06;1.16537e+07;1.40225e+07;1.45327e+07;1.35338e+07;1.15711e+07;8.6613e+06;6.08893e+06;4.10415e+06;2.46948e+06;1.27723e+06;583585;287616
