Index	FileName	ScanNum	FeatureIndex	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	PrecursorScanNum	PrecursorFeatureIndex	PrecursorMz	PrecursorIntensity	PrecursorCharge	PrecursorSNR	PrecursorMonoisotopicMass	PrecursorQscore	PrecursorQscore2D	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	
1	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	466.470664	466.204915	1022.45	1	1	6	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.998268	0.998268	1	5.94686	5.94686	0.480351	1	467.211037	468.216144	0.951820	0.951820
2	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	514.528842	514.239614	2784.69	1	1	9	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.999604	0.999604	1	5.19548	5.19548	0.743435	1	515.245406	517.253827	0.949873	0.949873
3	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	568.645327	568.322968	3755.28	1	1	8	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.98861	0.98861	1	5.09509	5.09509	0.371674	1	569.328761	571.336288	0.941337	0.941337
4	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	585.672436	585.350077	2150.85	1	1	9	0	nan	4250.000000	0	0	nan	nan	nan	nan	1.00114	1.00114	1	5.19298	5.19298	0.610287	1	586.355537	588.364174	0.952502	0.952502
5	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	607.684700	607.331343	2752.37	1	1	9	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.998972	0.998972	1	5.49633	5.49633	0.376339	1	608.336659	610.344952	0.952787	0.952787
6	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	629.721407	629.354137	2433.06	1	1	8	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.992301	0.992301	1	5.32103	5.32103	0.356966	1	630.359562	632.368606	0.945972	0.945972
7	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	643.663440	643.282082	2923.16	1	1	8	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.996386	0.996386	1	5.0642	5.0642	0.471536	1	644.287568	646.295425	0.948820	0.948820
8	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	697.772120	697.365123	1612.85	1	1	8	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.988423	0.988423	1	4.43215	4.43215	0.195697	1	698.370166	700.379068	0.941705	0.941705
9	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	714.812887	714.391961	3119.81	1	1	9	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.987782	0.987782	1	3.01783	3.01783	0.874048	1	715.396916	718.405890	0.930057	0.930057
10	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	716.806867	716.385941	1233.27	1	1	8	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.992971	0.992971	1	5.14033	5.14033	0.0731403	1	717.390920	719.400136	0.948991	0.948991
11	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	736.793963	736.373037	4165.88	1	1	9	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.998687	0.998687	1	3.64263	3.64263	0.461033	1	737.377501	739.387879	0.948827	0.948827
12	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	747.786253	747.353703	1536.07	1	1	8	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.97475	0.97475	1	2.93408	2.93408	0.111539	1	748.358656	751.370567	0.920501	0.920501
13	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	756.798116	756.365565	2775.77	1	1	7	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.989847	0.989847	1	5.19198	5.19198	0.502667	1	757.370100	759.378476	0.941611	0.941611
14	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	772.878281	772.434021	1824.82	1	1	7	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.992941	0.992941	1	4.9782	4.9782	0.26687	1	773.438987	775.447644	0.946960	0.946960
15	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	801.892759	801.423752	1396.23	1	1	5	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.983238	0.983238	1	1.37171	1.37171	0.0808909	1	802.428431	803.434727	0.926784	0.926784
16	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	823.886010	823.405393	1476.45	1	1	6	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.99816	0.99816	1	2.06207	2.06207	0.296755	1	824.410935	826.418665	0.945875	0.945875
17	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	836.931242	836.450626	758.363	1	1	9	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.911454	0.911454	1	0.274376	0.274376	0.864595	1	837.455455	840.466570	0.682857	0.682857
18	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	837.940594	837.459977	1258.7	1	1	9	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.857296	0.857296	1	0.736763	0.736763	0.441911	1	838.465037	841.475815	0.440963	0.440963
19	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	838.958269	838.466182	1397.75	1	1	8	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.936871	0.936871	1	3.35639	3.35639	0.654755	1	839.470677	841.478709	0.827989	0.827989
20	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	858.937305	858.445217	1279.32	1	1	7	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.986942	0.986942	1	5.14634	5.14634	0.746738	1	859.449418	861.457644	0.935424	0.935424
21	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	881.975912	881.468212	7397.54	1	1	8	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.992561	0.992561	1	1.06121	1.06121	0.406835	1	882.473630	885.484129	0.933911	0.933911
22	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	881.981479	881.473779	10038.2	1	1	8	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.99999	0.99999	1	2.00839	2.00839	0.61391	1	882.479847	885.490378	0.944687	0.944687
23	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	881.984404	881.476703	7143.77	1	1	8	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.998491	0.998491	1	0.917077	0.917077	0.721011	1	882.482956	885.493503	0.937142	0.937142
24	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	884.927603	884.419903	924.171	1	1	6	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.998296	0.998296	1	0.842397	0.842397	0.648766	1	885.424768	887.433862	0.937240	0.937240
25	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	901.010111	900.491025	865.53	1	1	8	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.984442	0.984442	1	2.81407	2.81407	0.130997	1	901.495144	903.504467	0.933626	0.933626
26	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	924.011742	923.481192	387.55	1	1	6	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.962835	0.962835	1	0.669307	0.669307	0.827126	1	924.485684	926.495487	0.870569	0.870569
27	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	937.979422	937.448872	1472.13	1	1	7	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.991196	0.991196	1	2.28385	2.28385	0.548412	1	938.454423	940.462094	0.935910	0.935910
28	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	937.982692	937.452142	1239.15	1	1	7	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.997578	0.997578	1	1.74016	1.74016	0.832098	1	938.457832	941.468346	0.938745	0.938745
29	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	969.061426	968.504209	3820.03	1	1	9	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.997516	0.997516	1	3.02493	3.02493	0.41519	1	969.510002	972.520232	0.946694	0.946694
30	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	969.065067	968.507850	2778.63	1	1	8	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.998978	0.998978	1	1.50766	1.50766	0.457415	1	969.513581	972.523828	0.943268	0.943268
31	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	995.034298	994.465742	1419.35	1	1	6	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.998128	0.998128	1	1.51224	1.51224	0.798291	1	995.470559	997.480985	0.938828	0.938828
32	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	995.038704	994.470149	2220.92	1	1	7	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.986362	0.986362	1	5.52394	5.52394	0.776637	1	995.474284	997.484721	0.935032	0.935032
33	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	1000.088852	999.520296	951.264	1	1	8	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.978414	0.978414	1	0.610397	0.610396	0.920166	1	1000.524949	1003.537631	0.901151	0.901151
34	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	1000.092419	999.523863	1316.15	1	1	9	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.989592	0.989592	1	1.2236	1.2236	0.556476	1	1000.528702	1003.541400	0.929084	0.929084
35	../workspaces-FLASHApp/default/flashtnt/input-files/mzML-files/example_spectrum_antibody.mzML	1	nan	0.008309	564	1000.099074	999.530518	1115.02	1	1	9	0	nan	4250.000000	0	0	nan	nan	nan	nan	0.862851	0.862851	1	0.399844	0.399844	0.611014	1	1000.536207	1003.548940	0.452173	0.452173
